   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
0,1,0,2,1,0,1,1,0,0,6,0,2
1,1,0,1,1,0,1,1,0,0,10,1,3
2,4,0,1,11,2,22,6,0,0,22,3,2
3,10,2,1,21,4,24,13,2,6,31,5,2
4,13,2,3,30,5,79,22,2,1,52,9,12
5,16,2,3,51,8,16,33,2,1,64,11,4
6,19,2,3,60,9,10,46,2,2,79,13,6
7,22,2,5,62,10,6,61,2,2,94,16,6
8,25,2,4,67,10,3,78,2,1,123,22,4
9,28,2,4,78,11,3,97,2,1,144,26,3
10,31,2,2,91,13,1,118,2,1,167,30,3
11,34,2,5,115,16,2,141,2,1,188,34,4
12,39,3,3,130,18,3,166,3,1,214,39,4
13,42,3,4,141,19,3,193,3,1,235,43,5
14,45,3,3,153,20,2,222,3,2,261,48,5
15,48,3,5,158,21,4,253,3,2,281,52,5
16,51,3,4,174,23,4,286,3,2,311,58,4
17,56,4,3,173,22,4,321,4,2,338,63,5
18,59,4,4,193,24,3,358,4,3,369,69,5
19,62,4,4,212,26,3,397,4,3,398,75,5
20,67,5,4,218,27,4,438,5,3,432,82,5
21,72,6,8,249,30,6,481,6,6,458,87,5
22,75,6,4,262,31,3,526,6,3,483,91,5
23,78,6,5,265,31,3,573,6,4,512,97,6
24,81,6,5,285,34,4,622,6,4,540,102,6
25,84,6,5,305,36,4,673,6,4,569,108,6
26,89,7,5,322,38,6,726,7,9,597,113,13
27,94,8,11,333,38,8,781,8,9,623,118,6
28,101,10,6,343,38,4,838,8,5,654,124,12
29,104,10,12,358,41,8,897,8,6,683,130,8
30,107,10,7,374,42,5,958,8,6,717,137,6
31,112,11,8,393,44,4,1021,9,6,743,142,7
32,115,11,6,416,47,4,1086,9,6,776,148,8
33,118,11,7,416,45,5,1153,9,6,808,154,7
34,121,11,7,434,47,5,1222,9,8,854,164,8
35,126,12,7,435,48,5,1293,10,9,876,167,7
36,129,12,7,443,48,4,1366,10,7,923,177,9
37,132,12,7,485,53,6,1441,10,8,948,181,8
38,135,12,7,497,54,5,1518,10,8,979,187,10
39,138,12,8,502,53,5,1597,10,9,1017,195,9
40,143,13,8,526,56,4,1678,11,9,1041,198,9
41,146,13,8,546,57,7,1761,11,10,1078,206,10
42,149,13,9,564,59,7,1846,11,11,1116,214,10
43,152,13,10,571,59,7,1933,11,11,1153,222,10
44,155,13,8,579,59,9,2022,11,11,1186,228,14
45,158,13,8,589,59,7,2113,11,14,1217,234,11
46,161,13,9,625,63,6,2206,11,12,1259,242,13
47,166,14,9,616,62,7,2301,12,13,1285,247,13
48,171,15,10,637,64,7,2398,13,13,1325,255,12
49,174,15,9,686,70,6,2497,13,14,1355,260,12
50,177,15,10,696,70,7,2598,13,14,1400,270,10
51,182,16,12,707,72,6,2701,14,14,1422,273,10
52,187,17,10,736,76,6,2806,15,16,1461,280,11
53,194,19,10,726,72,6,2913,15,16,1494,287,13
54,201,21,11,774,80,7,3022,17,16,1527,293,12
55,204,21,14,801,83,6,3133,17,17,1559,300,12
56,207,21,15,808,82,7,3246,17,17,1601,308,12
57,210,21,14,803,78,6,3361,17,20,1628,312,12
58,213,21,16,817,79,8,3478,17,19,1664,320,14
59,216,21,12,833,82,7,3597,17,19,1697,327,12
60,219,21,15,877,88,11,3718,17,20,1735,334,13
61,222,21,15,870,86,7,3841,17,20,1764,339,12
62,225,21,11,872,84,7,3966,17,25,1800,346,15
63,228,21,17,893,86,9,4093,17,22,1831,352,17
64,233,22,15,917,88,9,4222,18,23,1855,355,19
65,236,22,14,947,92,9,4353,18,23,1894,363,16
66,239,22,18,978,95,13,4486,18,37,1956,377,16
67,242,22,13,976,93,9,4621,18,24,1989,383,14
68,247,23,13,993,95,7,4758,19,25,2035,392,13
69,254,25,13,999,93,7,4897,19,29,2069,398,13
70,263,28,15,1023,96,7,5038,20,26,2113,407,18
71,272,31,15,1046,100,23,5181,21,27,2146,413,15
72,275,31,14,1061,101,9,5326,21,29,2194,423,15
73,278,31,14,1045,97,8,5473,21,29,2221,427,19
74,281,31,15,1082,101,9,5622,21,29,2271,437,16
75,284,31,23,1137,106,10,5773,21,124,2307,445,16
76,287,31,15,1155,110,9,5926,21,31,2351,453,16
77,290,31,15,1124,103,8,6081,21,32,2383,459,22
78,295,32,16,1150,107,10,6238,22,182,2428,468,18
79,302,34,18,1187,112,10,6397,22,33,2469,476,26
80,305,34,16,1224,116,10,6558,22,35,2512,484,21
81,308,34,16,1221,112,12,6721,22,186,2537,488,18
82,311,34,16,1239,114,12,6886,22,69,2572,494,22
83,316,35,16,1290,122,10,7053,23,36,2630,507,16
84,319,35,22,1302,122,11,7222,23,175,2658,511,18
85,326,37,17,1306,120,11,7393,25,39,2691,517,17
86,335,40,17,1330,122,11,7566,26,94,2736,526,18
87,338,40,17,1332,123,10,7741,26,43,2775,534,18
88,341,40,18,1358,125,11,7918,26,42,2816,542,19
89,344,40,18,1359,123,10,8097,26,139,2841,546,19
90,347,40,18,1397,128,12,8278,26,44,2897,558,24
91,352,41,18,1390,126,11,8461,27,174,2935,565,21
92,355,41,20,1427,129,42,8646,27,45,2982,575,19
93,358,41,19,1416,125,5,8833,27,154,3013,580,18
94,361,41,19,1448,128,4,9022,27,46,3061,590,20
95,364,41,19,1498,134,5,9213,27,151,3108,600,19
96,367,41,30,1478,129,5,9406,27,14,3126,601,23
97,376,44,21,1492,133,6,9601,30,15,3161,609,21
98,387,48,20,1527,136,4,9798,30,14,3201,616,20
99,390,48,33,1563,142,5,9997,30,16,3267,631,26
100,393,48,21,1571,142,8,10198,30,15,3298,636,28
101,396,48,9,1646,148,12,10401,30,19,3328,640,40
102,399,48,4,1653,147,5,10606,30,16,3390,654,25
103,402,48,3,1665,150,6,10813,30,17,3417,659,10
104,405,48,4,1686,151,6,11022,30,17,3475,672,8
105,408,48,4,1708,155,6,11233,30,18,3499,675,10
106,411,48,3,1695,150,6,11446,30,17,3548,686,9
107,416,49,3,1692,151,5,11661,31,18,3586,693,8
108,421,50,3,1715,153,8,11878,32,18,3627,701,8
109,430,53,3,1785,160,5,12097,31,18,3663,708,8
110,437,55,3,1791,162,5,12318,33,19,3704,716,7
111,440,55,3,1802,162,5,12541,33,19,3743,724,7
112,443,55,3,1824,163,5,12766,33,20,3788,733,8
113,448,56,3,1864,166,5,12993,34,20,3814,736,8
114,453,57,8,1870,165,14,13222,35,44,3855,744,21
115,462,60,6,1848,159,10,13453,34,37,3902,755,16
116,465,60,6,1871,161,12,13686,34,21,3934,759,11
117,468,60,4,1903,167,5,13921,34,21,3978,769,9
118,471,60,3,1923,166,4,14158,34,22,4013,775,9
119,478,62,3,1932,166,7,14397,36,22,4064,787,8
120,481,62,3,1941,165,4,14638,36,24,4090,790,8
121,484,62,3,2018,180,5,14881,36,23,4139,801,8
