     n, heap_cmp, heap_swaps, heap_time
     0,        6,          0,        19
     1,       10,          1,        21
     2,       22,          3,         0
     3,       31,          5,         0
     4,       43,          6,         0
     5,       61,         10,         0
     6,       86,         15,         0
     7,       94,         16,         0
     8,      120,         21,         0
     9,      143,         26,         0
    10,      157,         27,         0
    11,      177,         31,         0
    12,      206,         37,         1
    13,      232,         42,         1
    14,      256,         46,         1
    15,      278,         51,         1
    16,      306,         56,         1
    17,      327,         60,         1
    18,      360,         66,         1
    19,      376,         69,         1
    20,      407,         75,         1
    21,      421,         76,         1
    22,      458,         84,         1
    23,      490,         91,         1
    24,      515,         95,         2
    25,      556,        104,         2
    26,      585,        109,         2
    27,      621,        117,         2
    28,      640,        120,         2
    29,      657,        123,         2
    30,      701,        132,         2
    31,      729,        138,         6
    32,      737,        137,         2
    33,      784,        147,         2
    34,      806,        150,         5
    35,      836,        156,         3
    36,      858,        159,         3
    37,      864,        161,         2
    38,      899,        167,         3
    39,      927,        173,         3
    40,      963,        181,         3
    41,      999,        187,         5
    42,     1024,        191,         3
    43,     1078,        204,         3
    44,     1105,        208,         3
    45,     1145,        216,         3
    46,     1157,        215,         3
    47,     1206,        226,         4
    48,     1259,        237,         4
    49,     1279,        239,         4
    50,     1323,        249,         5
    51,     1364,        257,         5
    52,     1379,        258,         5
    53,     1405,        263,         4
    54,     1444,        271,         7
    55,     1504,        284,         6
    56,     1522,        285,         5
    57,     1564,        294,         5
    58,     1597,        300,         4
    59,     1618,        305,         4
    60,     1658,        312,         4
    61,     1691,        319,         8
    62,     1730,        326,        10
    63,     1766,        333,         5
    64,     1808,        341,         4
    65,     1842,        348,         4
    66,     1860,        350,       505
    67,     1890,        357,         7
    68,     1928,        363,         6
    69,     1962,        371,         7
    70,     2001,        378,         6
    71,     2008,        378,         5
    72,     2030,        380,         5
    73,     2107,        398,         7
    74,     2126,        399,         7
    75,     2167,        408,         5
    76,     2205,        415,         6
    77,     2239,        423,        52
    78,     2261,        426,         8
    79,     2309,        436,         8
    80,     2352,        444,         7
    81,     2393,        453,         7
    82,     2434,        459,         6
    83,     2492,        473,         6
    84,     2516,        477,         6
    85,     2567,        488,         6
    86,     2558,        482,         7
    87,     2600,        493,         7
    88,     2655,        505,         7
    89,     2650,        500,         7
    90,     2678,        506,         7
    91,     2761,        525,         7
    92,     2799,        531,         7
    93,     2840,        538,         7
    94,     2857,        540,        13
    95,     2896,        549,        10
    96,     2945,        559,         9
    97,     2974,        563,         8
    98,     3057,        583,         8
    99,     3080,        585,         8
   100,     3115,        590,         7
   101,     3148,        595,        11
   102,     3199,        608,        10
   103,     3276,        624,         8
   104,     3309,        630,         9
   105,     3322,        630,         9
   106,     3377,        644,        10
   107,     3398,        645,         8
   108,     3435,        654,         9
   109,     3456,        655,         9
   110,     3502,        666,        12
   111,     3551,        677,        10
   112,     3584,        682,        10
   113,     3632,        693,         9
   114,     3645,        693,         9
   115,     3706,        706,         9
   116,     3741,        712,         9
   117,     3777,        718,        12
   118,     3797,        721,        11
   119,     3838,        730,        10
   120,     3878,        737,        25
   121,     3936,        750,        12
   122,     3931,        745,        11
   123,     3978,        755,        10
   124,     4007,        759,        10
   125,     4065,        773,        15
   126,     4064,        771,        13
   127,     4108,        779,        10
   128,     4187,        795,        11
   129,     4203,        798,        11
   130,     4228,        801,        16
   131,     4292,        815,        13
   132,     4317,        817,        12
   133,     4358,        826,        12
   134,     4402,        836,        11
   135,     4441,        843,        11
   136,     4453,        841,        11
   137,     4540,        863,        11
   138,     4531,        857,        12
   139,     4572,        866,        12
   140,     4679,        889,        12
   141,     4714,        897,        17
   142,     4717,        894,        13
   143,     4743,        899,        13
   144,     4820,        915,        12
   145,     4881,        929,        12
   146,     4901,        931,        13
   147,     4920,        936,        13
   148,     4971,        943,        13
   149,     5034,        960,        16
   150,     5056,        960,        85
   151,     5106,        972,        15
   152,     5147,        978,        15
   153,     5185,        984,        14
   154,     5255,        999,        13
   155,     5236,        994,        13
   156,     5260,        998,        13
   157,     5351,       1018,        16
   158,     5420,       1032,        15
   159,     5449,       1038,        14
   160,     5457,       1039,        14
   161,     5463,       1036,        13
   162,     5553,       1057,        13
   163,     5580,       1061,        14
   164,     5617,       1068,        13
   165,     5634,       1070,        15
   166,     5656,       1072,        14
   167,     5736,       1089,        15
   168,     5794,       1103,        14
   169,     5822,       1109,       647
   170,     5868,       1116,        15
   171,     5923,       1128,        15
   172,     5945,       1132,        14
   173,     5971,       1135,        22
   174,     6018,       1144,        36
   175,     6072,       1155,        21
   176,     6122,       1166,        21
   177,     6176,       1177,        23
   178,     6223,       1186,        21
   179,     6227,       1186,        20
   180,     6297,       1201,        22
   181,     6369,       1216,        24
   182,     6420,       1226,        21
   183,     6417,       1224,        21
   184,     6462,       1230,        20
   185,     6487,       1235,        21
   186,     6575,       1253,        20
   187,     6578,       1253,        22
   188,     6632,       1263,        24
   189,     6701,       1280,        24
   190,     6717,       1281,        30
   191,     6750,       1288,        24
   192,     6793,       1295,        20
   193,     6856,       1309,        21
   194,     6867,       1307,        21
   195,     6898,       1312,        23
   196,     7041,       1346,        39
   197,     7059,       1348,        25
   198,     7086,       1354,        22
   199,     7125,       1361,        24
   200,     7182,       1374,        25
   201,     7272,       1393,        28
   202,     7288,       1393,        22
   203,     7330,       1402,        25
   204,     7406,       1418,        26
   205,     7404,       1414,        28
   206,     7464,       1425,        26
   207,     7435,       1419,        22
   208,     7534,       1440,        17
   209,     7549,       1440,        16
   210,     7640,       1461,        16
   211,     7685,       1472,        16
   212,     7743,       1483,        16
   213,     7779,       1489,        17
   214,     7806,       1494,        19
   215,     7874,       1509,        19
   216,     7884,       1507,        18
   217,     7885,       1506,        17
   218,     7938,       1514,        17
   219,     7979,       1523,        16
   220,     8067,       1542,        17
   221,     8125,       1554,        21
   222,     8147,       1557,        19
   223,     8229,       1575,        18
   224,     8241,       1577,        17
   225,     8301,       1591,        14
   226,     8311,       1588,        17
   227,     8400,       1609,        17
   228,     8387,       1600,        17
   229,     8448,       1616,        20
   230,     8485,       1622,        19
   231,     8557,       1636,        18
   232,     8612,       1648,        18
   233,     8635,       1652,        18
   234,     8632,       1650,        18
   235,     8741,       1674,        18
   236,     8762,       1678,        19
   237,     8826,       1693,        20
   238,     8853,       1692,        19
   239,     8856,       1692,        18
   240,     8923,       1708,        19
   241,     8989,       1721,        20
   242,     9054,       1733,        20
   243,     9063,       1736,        18
   244,     9110,       1743,        47
   245,     9144,       1753,        24
   246,     9168,       1754,        22
   247,     9257,       1774,        22
   248,     9283,       1778,        22
   249,     9277,       1775,        22
   250,     9344,       1787,        22
   251,     9404,       1800,        22
   252,     9411,       1798,        21
   253,     9510,       1823,        23
   254,     9534,       1823,        24
   255,     9554,       1824,        22
   256,     9645,       1846,        23
   257,     9660,       1850,        23
   258,     9690,       1851,        20
   259,     9724,       1859,        21
   260,     9805,       1875,        22
   261,     9880,       1891,        32
   262,     9896,       1892,        24
   263,     9971,       1911,        24
   264,     9971,       1907,        23
   265,    10005,       1913,        22
   266,    10044,       1919,        22
   267,    10141,       1941,        21
   268,    10214,       1959,        20
   269,    10238,       1963,        24
   270,    10282,       1969,        23
   271,    10349,       1984,        23
   272,    10364,       1989,        21
   273,    10399,       1993,        22
   274,    10442,       1999,        22
   275,    10479,       2005,        22
   276,    10551,       2024,        21
   277,    10587,       2029,        24
   278,    10614,       2030,        23
   279,    10606,       2029,        22
   280,    10675,       2042,        23
   281,    10768,       2064,        23
   282,    10809,       2072,        22
   283,    10846,       2077,        22
   284,    10886,       2085,        23
   285,    10916,       2092,        27
   286,    10982,       2103,        28
   287,    11014,       2111,        26
   288,    11053,       2115,        25
   289,    11075,       2119,        24
   290,    11123,       2128,        24
   291,    11194,       2144,        24
   292,    11204,       2143,        24
   293,    11293,       2165,        26
   294,    11275,       2158,        25
   295,    11353,       2174,        23
   296,    11420,       2191,        25
   297,    11437,       2187,        24
   298,    11475,       2192,        25
   299,    11542,       2213,        24
   300,    11641,       2233,        24
   301,    11659,       2235,        27
   302,    11707,       2244,        27
   303,    11711,       2244,        29
   304,    11801,       2263,        26
   305,    11811,       2258,        25
   306,    11877,       2278,        25
   307,    11896,       2279,        25
   308,    11976,       2295,        27
   309,    11981,       2293,        27
   310,    12051,       2307,        26
   311,    12086,       2313,        26
   312,    12111,       2316,        27
   313,    12150,       2324,        23
   314,    12248,       2349,        26
   315,    12275,       2348,        26
   316,    12324,       2360,        26
   317,    12332,       2359,        26
   318,    12435,       2385,        26
   319,    12475,       2390,        26
   320,    12516,       2399,        26
   321,    12561,       2407,        27
   322,    12635,       2421,        26
   323,    12629,       2419,        27
   324,    12672,       2426,        27
   325,    12754,       2441,        27
   326,    12789,       2447,        26
   327,    12811,       2454,        26
   328,    12863,       2465,        30
   329,    12874,       2463,        28
   330,    12964,       2485,        27
   331,    12982,       2485,        27
   332,    13043,       2496,        27
   333,    13090,       2508,        26
   334,    13146,       2520,        25
   335,    13202,       2530,        33
   336,    13263,       2542,        30
   337,    13287,       2544,        32
   338,    13387,       2568,        29
   339,    13423,       2571,        30
   340,    13520,       2595,        30
   341,    13446,       2571,        29
   342,    13567,       2603,        28
   343,    13612,       2610,        29
   344,    13620,       2611,        29
   345,    13712,       2629,        29
   346,    13711,       2625,        29
   347,    13813,       2648,        29
   348,    13855,       2657,        27
   349,    13814,       2647,        29
   350,    13929,       2673,        27
