  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
  0,             1,               0,              1,         1,           0,          1,             1,               0,              1,        6,          0,         1
  1,             1,               0,              1,         1,           0,          1,             1,               0,              0,       10,          1,         2
  2,             4,               0,              1,        11,           2,          3,             6,               0,              1,       22,          3,        11
  3,             7,               0,              1,        13,           2,          2,            13,               0,              1,       31,          5,         1
  4,            12,               1,              1,        24,           4,          2,            22,               1,              2,       48,          8,         2
  5,            15,               1,              1,        35,           5,          3,            33,               1,              2,       60,         10,         3
  6,            24,               4,              3,        43,           6,          6,            46,               2,              4,       78,         13,         4
  7,            31,               6,              3,        61,           9,          6,            61,               2,              6,       87,         14,         5
  8,            34,               6,              3,        71,          10,          7,            78,               2,              4,      116,         20,         5
  9,            37,               6,              4,        93,          13,         10,            97,               2,              7,      137,         24,         5
 10,            42,               7,              6,       106,          15,         10,           118,               3,              6,      163,         29,         5
 11,            47,               8,              8,       116,          15,          9,           141,               4,              7,      180,         32,         5
 12,            50,               8,              5,       132,          17,         11,           166,               4,              8,      210,         38,         6
 13,            53,               8,              5,       142,          19,         12,           193,               4,             10,      231,         42,         8
 14,            56,               8,              4,       148,          19,         11,           222,               4,             10,      253,         46,         5
 15,            59,               8,             16,       160,          21,         24,           253,               4,             21,      277,         51,        30
 16,            62,               8,              9,       167,          21,         14,           286,               4,             13,      309,         57,         6
 17,            65,               8,              5,       192,          24,         12,           321,               4,             15,      338,         63,         6
 18,            68,               8,             10,       198,          24,         14,           358,               4,             17,      369,         69,         6
 19,            73,               9,              5,       214,          26,         13,           397,               5,             38,      389,         72,         8
 20,            76,               9,             12,       220,          26,         18,           438,               5,             21,      433,         82,         8
 21,            79,               9,              5,       250,          30,         47,           481,               5,             22,      456,         86,         9
 22,            82,               9,              6,       268,          32,         17,           526,               5,             24,      480,         90,         8
 23,            85,               9,              5,       266,          30,         16,           573,               5,             29,      503,         94,         9
 24,            88,               9,              6,       282,          32,         16,           622,               5,             27,      535,        100,         9
 25,            91,               9,              5,       292,          32,         17,           673,               5,             29,      563,        106,         9
 26,            94,               9,              5,       310,          35,         18,           726,               5,             34,      590,        110,         9
 27,            97,               9,              5,       323,          37,         18,           781,               5,             34,      617,        116,        10
 28,           102,              10,              6,       340,          39,         35,           838,               6,             69,      652,        123,        20
 29,           107,              11,             11,       346,          38,        168,           897,               7,             74,      678,        128,        20
 30,           110,              11,             14,       371,          41,         52,           958,               7,             85,      709,        134,        11
 31,           113,              11,              7,       373,          41,          4,          1021,               7,             47,      732,        138,        12
 32,           116,              11,              7,       394,          44,          6,          1086,               7,             48,      766,        145,        11
 33,           119,              11,             12,       410,          45,          7,          1153,               7,             96,      803,        153,        20
 34,           122,              11,              7,       416,          45,          3,          1222,               7,             56,      842,        160,        13
 35,           127,              12,              8,       444,          48,          6,          1293,               8,             58,      870,        165,        13
 36,           132,              13,              9,       462,          49,          5,          1366,               9,             60,      910,        173,        16
 37,           137,              14,              8,       481,          51,          5,          1441,              10,             62,      938,        178,        16
 38,           148,              18,              8,       495,          53,          5,          1518,               8,             68,      970,        184,        14
 39,           151,              18,              9,       502,          53,          6,          1597,               8,             72,     1007,        192,        14
 40,           154,              18,              9,       520,          55,          5,          1678,               8,             75,     1039,        198,        23
 41,           157,              18,             10,       530,          55,          6,          1761,               8,             75,     1064,        202,        16
 42,           160,              18,             10,       539,          55,          5,          1846,               8,             82,     1118,        214,        16
 43,           165,              19,             13,       586,          60,          6,          1933,               9,             87,     1145,        219,        18
 44,           170,              20,             10,       595,          62,          5,          2022,              10,             90,     1169,        222,        16
