 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 0,             1,               0,              2,         1,           0,          1,             1,               0,              0,        6,          0,         1
 1,             1,               0,              0,         1,           0,          0,             1,               0,              0,       10,          1,         4
 2,             4,               0,              1,        11,           2,          3,             6,               0,              2,       22,          3,         4
 3,             7,               0,              2,        13,           2,          3,            13,               0,              2,       31,          5,       233
 4,            10,               0,              2,        25,           4,          5,            22,               0,              2,       52,          9,         7
 5,            13,               0,              1,        37,           6,          6,            33,               0,              8,       64,         11,         7
 6,            18,               1,              2,        49,           8,          8,            46,               1,              3,       79,         13,        10
 7,            27,               4,              3,        55,           8,          9,            61,               3,              6,       93,         16,        14
 8,            30,               4,              4,        74,          11,         11,            78,               3,              6,      122,         22,        16
 9,            33,               4,              4,        90,          13,         15,            97,               3,              6,      143,         26,        13
10,            36,               4,              4,       103,          15,         12,           118,               3,              8,      169,         31,        31
