    n, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time
    0,         1,           0,          2,        6,          0,         2
    1,         1,           0,          0,       10,          1,         2
    2,        11,           2,          0,       22,          3,         1
    3,        13,           2,          0,       31,          5,         1
    4,        24,           4,         12,       42,          6,         1
    5,        39,           6,          0,       56,          9,         1
    6,        65,           9,          0,       82,         14,         7
    7,        71,          11,          9,       94,         16,         2
    8,        92,          14,          0,      109,         18,         2
    9,       107,          15,          1,      128,         22,         2
   10,       118,          16,          1,      159,         28,         2
   11,       140,          20,          1,      186,         34,         3
   12,       155,          22,          2,      200,         35,         3
   13,       163,          19,          2,      222,         40,         8
   14,       195,          20,          4,      240,         43,         3
   15,       214,          26,          1,      255,         46,         3
   16,       208,          24,          4,      296,         54,         9
   17,       246,          32,          3,      325,         60,         9
   18,       246,          32,          2,      349,         64,         4
   19,       267,          34,          2,      365,         67,         8
   20,       302,          38,          2,      399,         74,         6
   21,       339,          39,          2,      414,         76,         4
   22,       348,          40,          2,      459,         86,         8
   23,       370,          42,          2,      476,         88,         5
   24,       406,          47,          2,      511,         95,         5
   25,       390,          43,          2,      539,        101,         5
   26,       423,          45,          2,      570,        106,         6
   27,       450,          52,          2,      597,        112,         5
   28,       502,          55,          2,      632,        119,         6
   29,       485,          56,          2,      645,        121,         6
   30,       510,          60,          2,      672,        126,         7
   31,       552,          58,          3,      694,        130,         7
   32,       543,          63,          3,      728,        136,         6
   33,       576,          65,          2,      737,        135,         7
   34,       651,          69,          2,      795,        148,        11
   35,       613,          68,          5,      815,        151,         8
   36,       630,          73,          3,      843,        157,         7
   37,       605,          73,          2,      885,        166,         7
   38,       666,          77,          3,      909,        169,        11
   39,       702,          77,          4,      937,        175,         8
   40,       739,          83,          3,      962,        178,        11
   41,       716,          84,          5,      993,        184,        10
   42,       747,          82,          5,     1019,        189,         9
   43,       851,          88,         15,     1052,        195,        10
   44,       863,          87,          3,     1092,        202,        10
   45,       876,          94,          3,     1123,        208,        10
   46,       915,          95,         15,     1158,        214,        10
   47,       903,          99,         10,     1178,        218,        23
   48,       917,         105,          7,     1208,        224,        21
   49,       976,         105,          8,     1229,        227,        10
   50,       975,         108,          4,     1265,        233,        12
   51,       973,         107,          9,     1283,        236,        23
   52,      1049,         111,          8,     1325,        244,        22
   53,      1038,         120,          8,     1347,        248,        22
   54,      1145,         116,          4,     1395,        259,        11
   55,      1126,         112,          4,     1427,        266,        11
   56,      1145,         120,          4,     1442,        265,        25
   57,      1248,         121,         10,     1484,        275,        26
   58,      1277,         133,         10,     1514,        280,        12
   59,      1204,         136,          4,     1560,        290,        13
   60,      1223,         137,          5,     1599,        296,        13
   61,      1278,         135,          5,     1613,        297,        13
   62,      1343,         129,          4,     1660,        308,        13
   63,      1295,         136,          5,     1690,        313,        17
   64,      1396,         139,          7,     1753,        327,        15
   65,      1413,         145,          6,     1761,        328,        14
   66,      1372,         150,          5,     1797,        334,        18
   67,      1452,         148,          7,     1833,        342,        16
   68,      1432,         154,          7,     1852,        342,        22
   69,      1465,         152,          5,     1898,        353,        15
   70,      1504,         161,          6,     1969,        369,        15
   71,      1568,         160,          5,     1972,        368,        15
   72,      1619,         155,          8,     2004,        372,        17
   73,      1602,         164,         12,     2069,        388,        32
   74,      1633,         165,          6,     2096,        392,        15
   75,      1590,         172,          6,     2107,        394,        15
   76,      1682,         166,          7,     2137,        398,        17
   77,      1848,         169,          6,     2156,        401,        16
   78,      1951,         165,          6,     2211,        412,        16
   79,      1782,         190,          6,     2281,        430,        16
   80,      1815,         198,          7,     2294,        429,        18
   81,      1799,         189,          7,     2322,        434,        19
   82,      1819,         184,          5,     2364,        443,        17
   83,      1955,         186,          6,     2408,        453,        17
   84,      2031,         181,          6,     2440,        458,        19
   85,      2102,         179,          7,     2477,        465,        19
   86,      2088,         195,          7,     2515,        473,        18
   87,      1933,         193,          6,     2539,        474,        18
   88,      1935,         198,          6,     2600,        487,        19
   89,      2149,         203,          7,     2626,        492,        24
   90,      2158,         206,         10,     2672,        502,        21
   91,      2114,         210,          8,     2690,        504,        21
   92,      2159,         216,          7,     2770,        523,        24
   93,      2189,         214,          8,     2762,        519,        22
   94,      2289,         212,          7,     2784,        521,        20
   95,      2159,         228,          9,     2821,        529,        20
   96,      2325,         231,          7,     2909,        548,        20
   97,      2309,         224,          8,     2939,        553,        21
   98,      2246,         227,          8,     2955,        555,        21
   99,      2412,         229,          8,     2971,        557,        21
  100,      2377,         238,          8,     3042,        573,        21
  101,      2316,         242,          9,     3073,        578,        23
  102,      2349,         243,          8,     3147,        594,        22
  103,      2882,         245,          8,     3163,        597,        22
  104,      2760,         243,          8,     3198,        603,        37
  105,      2613,         239,          8,     3241,        612,        25
  106,      2749,         249,          9,     3293,        624,        10
  107,      2610,         256,          9,     3280,        618,        10
  108,      2658,         244,          8,     3347,        630,         9
  109,      2508,         258,          9,     3357,        634,        11
  110,      2562,         258,         10,     3372,        636,        10
  111,      2673,         263,          9,     3424,        646,         9
  112,      2872,         251,          8,     3458,        653,         9
  113,      2795,         260,          9,     3530,        667,        11
  114,      2842,         261,         10,     3576,        677,        10
  115,      2856,         272,          9,     3625,        688,        10
  116,      2841,         273,          9,     3655,        692,        11
  117,      2929,         265,          9,     3708,        704,        10
  118,      3174,         271,         11,     3717,        703,        12
  119,      2944,         284,         10,     3740,        708,        11
  120,      3090,         289,          9,     3775,        715,        10
  121,      3029,         289,         10,     3810,        720,        10
  122,      2930,         290,         11,     3867,        732,        13
  123,      2920,         297,         10,     3896,        739,        12
  124,      2981,         304,         10,     3949,        749,        11
  125,      3296,         299,         10,     3983,        755,        11
  126,      3240,         299,         10,     4012,        759,        13
  127,      3283,         306,         11,     4050,        765,        13
  128,      3263,         302,         11,     4080,        771,        12
  129,      3218,         303,         10,     4172,        793,        11
  130,      3331,         311,         10,     4182,        790,        13
  131,      3471,         321,         12,     4238,        804,        12
  132,      3247,         323,         11,     4256,        806,        12
  133,      3431,         327,         24,     4282,        810,        27
  134,      3416,         327,         22,     4303,        811,        27
  135,      3367,         328,         12,     4361,        823,        14
  136,      3389,         329,         10,     4383,        826,        13
  137,      3391,         331,         12,     4417,        834,        12
  138,      3537,         338,         11,     4495,        851,        12
  139,      3785,         323,         12,     4531,        856,        15
  140,      3708,         327,         10,     4595,        869,        14
  141,      3533,         342,         12,     4619,        873,        13
  142,      3842,         348,         12,     4671,        884,        13
  143,      3748,         351,         13,     4719,        893,        15
  144,      3826,         345,         12,     4772,        905,        15
  145,      3620,         358,         12,     4799,        908,        14
  146,      3717,         363,         12,     4873,        924,        13
  147,      3810,         355,         12,     4854,        919,        15
  148,      3864,         355,         14,     4947,        937,        14
  149,      3866,         365,         13,     4923,        931,        14
  150,      3896,         376,         12,     4993,        946,        13
  151,      3881,         375,         25,     5011,        946,        27
  152,      3894,         373,         12,     5067,        959,        13
  153,      3820,         394,         12,     5134,        974,        13
  154,      3920,         374,         12,     5145,        974,        13
  155,      4159,         383,         13,     5221,        990,        13
  156,      4327,         385,         14,     5241,        992,        16
  157,      4181,         390,         13,     5287,       1001,        16
  158,      4014,         396,         13,     5330,       1008,        16
  159,      4092,         401,         13,     5365,       1017,        15
  160,      4317,         399,         15,     5403,       1024,        16
  161,      4308,         405,         14,     5440,       1031,        16
  162,      4264,         408,         10,     5477,       1036,        15
  163,      4528,         395,         13,     5503,       1043,        15
  164,      4465,         413,         18,     5579,       1060,        18
  165,      5159,         410,         14,     5561,       1051,        25
  166,      4683,         410,         14,     5593,       1057,        16
  167,      4516,         426,         14,     5665,       1072,        15
  168,      4618,         434,         14,     5725,       1084,        35
  169,      4709,         417,         30,     5762,       1094,        34
  170,      4511,         441,         29,     5799,       1098,        33
  171,      5008,         422,         29,     5826,       1102,        16
  172,      5187,         427,         14,     5881,       1112,        18
  173,      4659,         423,         16,     5966,       1132,        18
  174,      4589,         433,         12,     6010,       1140,        14
  175,      4754,         429,         14,     6014,       1137,        16
  176,      4871,         437,         14,     6087,       1154,        16
  177,      4786,         436,         16,     6075,       1150,        18
  178,      4832,         442,         15,     6079,       1146,        18
  179,      5022,         443,         14,     6156,       1167,        19
  180,      4993,         452,         14,     6222,       1181,        17
  181,      5022,         468,         17,     6266,       1190,        19
  182,      4881,         463,         16,     6312,       1198,        18
  183,      5273,         450,         15,     6328,       1201,        19
  184,      5087,         453,         15,     6365,       1206,        17
  185,      4919,         474,         15,     6429,       1221,        17
  186,      5211,         471,         15,     6484,       1230,        16
  187,      5216,         464,         15,     6517,       1240,        16
  188,      5082,         489,         15,     6547,       1239,        16
  189,      4974,         484,         15,     6484,       1222,        16
  190,      4999,         491,         15,     6597,       1248,        17
  191,      5225,         476,         15,     6680,       1267,        16
  192,      5370,         483,         15,     6748,       1281,        17
  193,      5514,         487,         15,     6754,       1281,        18
  194,      5717,         483,         15,     6797,       1290,        17
  195,      5161,         502,         15,     6854,       1303,        17
  196,      5668,         502,         16,     6835,       1294,        17
  197,      5334,         492,         16,     6930,       1318,        16
  198,      5733,         507,         16,     6956,       1320,        17
  199,      5633,         504,         16,     7005,       1331,        17
  200,      5359,         503,         15,     7032,       1334,        18
  201,      5920,         522,         16,     7118,       1354,        18
  202,      5630,         523,         16,     7121,       1351,        17
  203,      5613,         512,         16,     7172,       1363,        18
  204,      5640,         521,         16,     7227,       1373,        18
  205,      5620,         524,         17,     7314,       1394,        18
  206,      5924,         518,         16,     7315,       1388,        19
  207,      5715,         536,         16,     7391,       1405,        22
  208,      5814,         543,         16,     7404,       1407,        20
  209,      6048,         533,         17,     7441,       1413,        19
  210,      6521,         526,         16,     7517,       1429,        18
  211,      6141,         543,         17,     7548,       1434,        19
  212,      5862,         536,         17,     7614,       1448,        18
  213,      6618,         542,         17,     7627,       1450,        18
  214,      5836,         571,         17,     7709,       1467,        19
  215,      5728,         555,         17,     7774,       1481,        19
  216,      5895,         561,         17,     7808,       1488,        19
  217,      5939,         557,         17,     7806,       1484,        18
  218,      6299,         562,         17,     7826,       1487,        20
  219,      6391,         573,         18,     7874,       1498,        20
  220,      6338,         566,         18,     7927,       1506,        19
  221,      6251,         565,         17,     7979,       1518,        20
  222,      6081,         586,         17,     8056,       1535,        20
  223,      6738,         565,         18,     8059,       1533,        20
  224,      6693,         562,         17,     8108,       1543,        20
  225,      6291,         581,         17,     8095,       1538,        19
  226,      6680,         580,         17,     8170,       1552,        20
  227,      6749,         572,         18,     8238,       1571,        20
  228,      6450,         582,         18,     8281,       1578,        22
  229,      7228,         562,         18,     8354,       1594,        22
  230,      7513,         574,         17,     8380,       1595,        21
  231,      6377,         595,         18,     8453,       1610,        21
  232,      6467,         603,         15,     8490,       1620,        26
  233,      7245,         594,         18,     8463,       1611,        21
  234,      6785,         593,         18,     8596,       1640,        21
  235,      6634,         615,         18,     8563,       1629,        21
  236,      6753,         618,         17,     8649,       1647,        21
  237,      6721,         611,         18,     8663,       1650,        21
  238,      6937,         601,         18,     8699,       1656,        21
  239,      7405,         631,         20,     8781,       1674,        21
  240,      7766,         626,         19,     8767,       1668,        22
  241,      7030,         621,         20,     8876,       1691,        23
  242,      6891,         637,         20,     8887,       1692,        23
  243,      7180,         616,         19,     8940,       1704,        22
  244,      7126,         621,         19,     8975,       1709,        23
  245,      7246,         625,         19,     9019,       1719,        24
  246,      7233,         634,         16,     9075,       1731,        24
  247,      7316,         642,         19,     9128,       1744,        23
  248,      7175,         640,         20,     9145,       1743,        24
  249,      7246,         645,         20,     9214,       1759,        23
  250,      7279,         673,         20,     9265,       1768,        23
  251,      7270,         646,         20,     9336,       1784,        23
  252,      7457,         651,         19,     9332,       1778,        23
  253,      7463,         664,         20,     9374,       1787,        22
  254,      7434,         664,         19,     9389,       1788,        24
  255,      7709,         672,         20,     9466,       1805,        24
  256,      7780,         684,         21,     9510,       1812,        24
  257,      7193,         689,         21,     9573,       1826,        24
  258,      7227,         673,         20,     9616,       1834,        24
  259,      7580,         688,         21,     9673,       1844,        24
  260,      7584,         691,         19,     9710,       1853,        24
  261,      7981,         677,         21,     9752,       1860,        23
  262,      8396,         663,         21,     9799,       1869,        24
  263,      7467,         725,         21,     9826,       1876,        25
  264,      7495,         716,         17,     9880,       1885,        24
  265,      7661,         709,         21,     9944,       1900,        25
  266,      7619,         708,         15,    10005,       1911,        24
  267,      7832,         708,         21,    10028,       1916,        24
  268,      8418,         687,         21,    10045,       1917,        25
  269,      8266,         707,         22,    10083,       1923,        25
  270,      8566,         721,         22,    10127,       1931,        25
  271,      7955,         739,         22,    10219,       1952,        24
  272,      8071,         737,         16,    10236,       1952,        25
  273,      8040,         724,         21,    10312,       1970,        26
  274,      8115,         733,         22,    10405,       1992,        26
  275,      8063,         744,         23,    10379,       1981,        26
  276,      7826,         741,         23,    10418,       1989,        27
  277,      8807,         721,         23,    10498,       2006,        27
  278,      8633,         750,         23,    10466,       1995,        26
  279,      7981,         762,         23,    10528,       2005,        26
  280,      8051,         751,         21,    10628,       2032,        26
  281,      8515,         743,         23,    10665,       2038,        27
  282,      8637,         740,         22,    10691,       2041,        27
  283,      8772,         737,         22,    10743,       2053,        27
  284,      8809,         728,         22,    10818,       2069,        27
  285,      8639,         742,         22,    10855,       2075,        27
  286,      8656,         755,         23,    10903,       2087,        27
  287,      8373,         773,         24,    10940,       2090,        27
  288,      8524,         775,         23,    10997,       2103,        32
  289,      8643,         774,         23,    11030,       2105,        33
  290,      8834,         778,         28,    11058,       2114,        30
  291,      8678,         763,         23,    11142,       2129,        28
  292,      8764,         778,         23,    11198,       2146,        28
  293,      8799,         775,         24,    11260,       2154,        29
  294,      8876,         761,         23,    11247,       2151,        30
  295,      8729,         788,         34,    11337,       2171,        36
  296,      8750,         799,         25,    11369,       2175,        29
  297,      9045,         793,         24,    11389,       2174,        29
  298,      8919,         795,         24,    11482,       2200,        29
  299,      9647,         785,         23,    11520,       2206,        28
  300,      9319,         792,         25,    11532,       2207,        29
  301,      9237,         794,         24,    11591,       2217,        29
  302,      9655,         791,         24,    11684,       2236,        28
  303,      9112,         823,         25,    11728,       2247,        29
  304,      9250,         798,         24,    11746,       2250,        28
  305,      9391,         805,         24,    11778,       2254,        30
  306,      9331,         808,         24,    11833,       2263,        29
  307,      9503,         819,         26,    11882,       2280,        29
  308,      9339,         814,         25,    11967,       2295,        29
  309,      9529,         823,         26,    12025,       2308,        29
  310,      9408,         822,         26,    12040,       2304,        29
  311,      9019,         849,         26,    12098,       2318,        28
  312,      9543,         835,         25,    12155,       2330,        29
  313,      9419,         844,         26,    12113,       2319,        30
  314,      9429,         845,         26,    12166,       2328,        30
  315,      9459,         843,         27,    12282,       2356,        30
  316,      9479,         867,         26,    12277,       2348,        30
