   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
   0,             1,               0,              1,         1,           0,          1,             1,               0,              0,        6,          0,         2
   1,             1,               0,              0,         1,           0,          0,             1,               0,              0,       10,          1,         2
   2,             4,               0,              0,        11,           2,          8,             6,               0,              1,       22,          3,         1
   3,             9,               1,             27,        22,           4,         25,            13,               1,              7,       28,          4,         2
   4,            12,               1,              0,        31,           5,          3,            22,               1,              1,       49,          8,        21
   5,            21,               4,              1,        42,           7,         18,            33,               2,              3,       64,         11,         4
   6,            28,               6,              1,        53,           8,          4,            46,               2,              1,       79,         13,         6
   7,            39,              10,              2,        71,          10,          4,            61,               4,              2,       89,         15,         5
   8,            48,              13,              1,        81,          11,          3,            78,               5,              1,      117,         20,         4
   9,            61,              18,              1,       101,          14,          3,            97,               6,              2,      141,         25,         2
  10,            66,              19,              1,       116,          16,          2,           118,               7,              1,      167,         30,         3
  11,            71,              20,              2,       131,          18,          5,           141,               8,              3,      184,         33,         7
  12,            78,              22,              1,       132,          17,          2,           166,               8,              1,      216,         39,         3
  13,            81,              22,              2,       162,          21,          5,           193,               8,              3,      237,         43,         9
  14,            98,              29,              2,       199,          23,          2,           222,               9,              1,      255,         46,         3
  15,           117,              37,              3,       192,          26,          6,           253,              11,              5,      272,         50,         8
  16,           140,              47,              3,       194,          24,          5,           286,              13,              4,      298,         54,         8
  17,           173,              62,              1,       228,          27,          5,           321,              12,              2,      313,         57,         4
  18,           200,              74,              2,       260,          31,          3,           358,              16,              2,      346,         63,         4
  19,           211,              78,              2,       302,          35,          3,           397,              16,              3,      367,         67,         4
  20,           240,              91,              2,       307,          35,          4,           438,              17,              3,      385,         70,         4
  21,           277,             108,              2,       304,          33,          3,           481,              18,              7,      423,         79,         6
  22,           284,             110,              4,       317,          34,          6,           526,              18,              4,      454,         85,         7
  23,           287,             110,              2,       354,          41,          5,           573,              18,              4,      471,         87,         6
  24,           332,             131,              6,       351,          41,          9,           622,              19,              5,      517,         96,         7
  25,           377,             152,              3,       415,          40,          4,           673,              16,              4,      544,        101,         6
  26,           404,             164,              3,       391,          36,          4,           726,              20,              5,      563,        103,         6
  27,           453,             187,              7,       415,          49,          8,           781,              21,             10,      580,        106,         6
  28,           498,             208,              4,       472,          57,          5,           838,              24,              5,      623,        115,         6
  29,           529,             222,              4,       479,          58,          6,           897,              26,              6,      647,        119,         6
  30,           562,             237,              4,       466,          56,         12,           958,              27,             13,      667,        122,        14
  31,           581,             245,              9,       508,          56,         10,          1021,              27,            114,      683,        124,         7
  32,           604,             255,              4,       523,          59,          6,          1086,              29,              7,      723,        132,         7
  33,           657,             280,              5,       629,          60,          5,          1153,              30,              7,      752,        139,         7
  34,           718,             309,              5,       653,          69,          6,          1222,              27,              8,      774,        142,         8
  35,           781,             339,              6,       627,          71,          6,          1293,              31,              8,      792,        144,         8
  36,           806,             350,              6,       663,          74,          6,          1366,              32,              8,      833,        153,         8
  37,           865,             378,              6,       718,          77,          6,          1441,              32,              9,      867,        161,         8
  38,           912,             400,              6,       706,          79,          6,          1518,              32,              9,      886,        161,         9
  39,           953,             419,              7,       718,          84,          7,          1597,              35,             10,      938,        174,         8
  40,          1004,             443,              8,       742,          86,          8,          1678,              37,             11,      960,        178,         9
  41,          1067,             473,             96,       770,          86,          9,          1761,              37,             12,      979,        182,         9
  42,          1112,             494,              8,       768,          87,          8,          1846,              36,             11,     1025,        191,         9
  43,          1189,             531,              9,       837,          91,         10,          1933,              39,            202,     1068,        200,        21
  44,          1204,             537,              9,       844,          92,          8,          2022,              39,             12,     1061,        196,        12
  45,          1281,             574,              9,       966,          89,          8,          2113,              40,             13,     1091,        201,        10
  46,          1290,             577,              9,       994,          94,          8,          2206,              41,             13,     1134,        210,        12
  47,          1359,             610,             10,       964,          93,          9,          2301,              44,             14,     1172,        217,        11
  48,          1432,             645,              3,       952,          96,         12,          2398,              43,             15,     1219,        226,        11
  49,          1489,             672,              2,       983,          98,          8,          2497,              40,             16,     1260,        235,        11
  50,          1520,             686,              3,      1038,         101,          9,          2598,              46,             92,     1298,        243,        11
  51,          1603,             726,              2,      1025,         110,          9,          2701,              44,             17,     1327,        247,        11
  52,          1630,             738,              2,      1019,         108,          9,          2806,              46,             16,     1370,        257,        11
  53,          1635,             739,              3,      1116,         114,          9,          2913,              47,             17,     1413,        266,        12
  54,          1718,             779,              2,      1121,         115,          9,          3022,              49,             17,     1467,        276,        11
  55,          1781,             809,              2,      1064,         112,          8,          3133,              51,             18,     1478,        278,        11
  56,          1820,             827,              3,      1169,         119,          9,          3246,              53,            132,     1510,        284,        12
  57,          1849,             840,              3,      1140,         125,         10,          3361,              54,             20,     1505,        281,        12
  58,          1870,             849,              3,      1152,         122,         22,          3478,              55,             20,     1570,        294,        12
  59,          1953,             889,              2,      1251,         133,         10,          3597,              57,             20,     1599,        300,        12
  60,          1980,             901,              3,      1295,         131,         11,          3718,              57,             21,     1630,        306,        12
  61,          2102,             961,              3,      1341,         135,         11,          3841,              55,            152,     1666,        314,        13
  62,          2147,             982,              3,      1311,         134,         10,          3966,              58,             23,     1667,        311,        13
  63,          2180,             997,              3,      1373,         135,         11,          4093,              59,             24,     1665,        310,        13
  64,          2185,             998,              3,      1391,         142,         10,          4222,              60,             24,     1719,        321,        16
  65,          2254,            1031,              3,      1373,         147,         12,          4353,              59,            149,     1757,        328,        15
  66,          2275,            1040,              3,      1453,         146,         11,          4486,              64,             26,     1805,        337,        14
  67,          2328,            1065,              3,      1464,         146,         12,          4621,              63,             27,     1861,        350,        14
