  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
  0,             1,               0,              3,         1,           0,          1,             1,               0,              0,        6,          0,         1
  1,             1,               0,              0,         1,           0,          1,             1,               0,              0,       10,          1,         2
  2,             5,               1,              1,        10,           2,          2,             6,               1,              1,       19,          2,         1
  3,             8,               1,              1,        22,           4,          3,            13,               1,              1,       28,          4,       183
  4,            13,               2,              3,        35,           6,          4,            22,               2,              2,       45,          7,         2
  5,            16,               2,              2,        44,           7,          5,            33,               2,              3,       63,         11,         3
  6,            27,               6,              3,        55,           8,          5,            46,               4,              3,       78,         13,         2
  7,            34,               8,              2,        67,          10,          9,            61,               4,             29,       89,         15,         4
  8,            50,              15,              4,        80,          12,          6,            78,               5,              5,      117,         20,        17
  9,            63,              20,              4,       103,          14,          7,            97,               6,              5,      127,         21,         3
 10,            80,              27,              5,       118,          14,          9,           118,               7,              6,      145,         24,         9
 11,            93,              32,             13,       130,          17,         19,           141,               8,             15,      170,         29,         4
 12,           102,              35,              7,       147,          19,          9,           166,               9,              8,      195,         34,         4
 13,           125,              45,              8,       177,          23,         14,           193,               9,              9,      207,         36,         5
 14,           134,              48,              9,       186,          25,         16,           222,              10,             11,      226,         39,         5
 15,           151,              55,             10,       221,          27,         13,           253,              11,             12,      249,         44,         5
 16,           158,              57,             13,       236,          26,         14,           286,              13,             14,      296,         54,         6
 17,           185,              69,             12,       238,          32,         15,           321,              11,             15,      313,         56,         6
 18,           204,              77,             13,       242,          30,         15,           358,              11,             19,      345,         62,         7
 19,           211,              79,             14,       273,          35,         17,           397,              11,             19,      365,         66,         8
 20,           251,              98,             16,       293,          36,         17,           438,              16,             21,      401,         73,         7
 21,           290,             116,             22,       298,          37,         18,           481,              16,             22,      416,         75,         8
 22,           333,             136,             22,       322,          41,         19,           526,              18,             24,      430,         77,         9
 23,           362,             149,             25,       355,          41,         22,           573,              21,             29,      456,         82,         9
 24,           391,             162,             53,       367,          44,         62,           622,              22,             29,      490,         89,         9
 25,           424,             177,             28,       414,          48,         71,           673,              21,             30,      515,         94,        10
 26,           451,             189,             29,       439,          49,         66,           726,              23,             35,      554,        102,         9
 27,           500,             212,             34,       459,          50,         24,           781,              24,             35,      564,        103,         9
 28,           513,             217,             33,       478,          52,         24,           838,              23,             37,      593,        108,        19
 29,           528,             223,             71,       500,          62,         55,           897,              25,             42,      607,        110,         9
 30,           543,             229,             34,       517,          61,         27,           958,              27,             41,      638,        116,        10
 31,           570,             241,             39,       555,          59,         30,          1021,              27,             47,      665,        122,        14
 32,           595,             252,             39,       619,          62,         41,          1086,              26,             46,      712,        131,        11
 33,           622,             264,             40,       559,          68,         33,          1153,              26,             54,      740,        137,        11
 34,           679,             291,             50,       606,          62,          6,          1222,              31,             54,      782,        144,        11
 35,           696,             298,             45,       637,          68,          6,          1293,              32,             57,      809,        149,        12
 36,           753,             325,             51,       649,          77,          6,          1366,              31,             62,      836,        154,        12
 37,           812,             353,             52,       727,          77,         14,          1441,              31,             64,      857,        158,        13
 38,           871,             381,             57,       692,          72,          6,          1518,              33,             69,      875,        160,        13
 39,           880,             384,             56,       792,          75,         10,          1597,              34,             74,      916,        169,        46
 40,           960,             423,            120,       834,          82,         17,          1678,              37,             77,      949,        174,        14
 41,          1017,             450,             64,       781,          80,          7,          1761,              40,            140,      974,        179,        24
 42,          1062,             471,            118,       783,          85,         16,          1846,              37,            145,     1004,        184,        13
 43,          1123,             500,             70,       846,          89,          7,          1933,              36,             87,     1053,        195,        18
 44,          1136,             505,             71,       867,          93,          8,          2022,              39,             93,     1097,        204,        14
 45,          1165,             518,             72,       849,          94,          7,          2113,              42,             95,     1135,        213,        15
 46,          1210,             539,             77,       881,          97,          7,          2206,              43,             98,     1151,        214,        15
 47,          1271,             568,             78,       924,          99,          8,          2301,              44,            103,     1177,        219,        19
 48,          1322,             592,             95,       877,         102,          8,          2398,              40,            107,     1226,        229,        16
 49,          1407,             633,             87,       921,         105,          8,          2497,              41,            110,     1253,        234,        16
 50,          1486,             671,             95,       944,         106,          8,          2598,              47,            118,     1291,        242,        16
 51,          1507,             680,             93,       987,         108,          8,          2701,              48,            122,     1309,        245,        17
 52,          1514,             682,             95,       970,         111,          8,          2806,              50,            127,     1359,        255,        17
 53,          1553,             700,             95,      1018,         103,          8,          2913,              52,            129,     1401,        265,        18
 54,          1658,             751,            102,      1100,         118,          9,          3022,              47,            134,     1426,        268,        12
 55,          1755,             798,            108,      1127,         114,         10,          3133,              48,            149,     1450,        273,        12
 56,          1828,             833,            112,      1096,         114,          9,          3246,              53,            143,     1480,        278,        12
 57,          1877,             856,            113,      1118,         115,         10,          3361,              52,            148,     1485,        277,        12
 58,          1960,             896,            123,      1174,         123,         11,          3478,              54,            155,     1550,        291,        13
 59,          2077,             953,            129,      1224,         132,         10,          3597,              57,            158,     1583,        296,        13
 60,          2100,             963,            131,      1205,         129,         11,          3718,              57,            162,     1625,        306,        13
 61,          2199,            1011,            134,      1219,         129,         11,          3841,              55,            168,     1651,        310,        14
 62,          2262,            1041,            137,      1281,         131,         10,          3966,              55,            176,     1677,        314,        14
 63,          2277,            1047,            143,      1270,         130,         11,          4093,              57,            181,     1706,        320,        14
 64,          2326,            1070,            146,      1312,         133,         11,          4222,              58,            185,     1726,        323,        14
 65,          2347,            1079,            146,      1325,         139,         12,          4353,              61,            194,     1773,        332,        14
 66,          2450,            1129,            160,      1385,         143,         20,          4486,              63,            196,     1800,        336,        14
 67,          2575,            1190,            162,      1531,         148,         21,          4621,              64,            210,     1828,        343,        31
 68,          2708,            1255,            325,      1452,         140,         13,          4758,              61,            234,     1901,        358,        15
 69,          2837,            1318,            174,      1435,         140,         12,          4897,              60,            400,     1922,        361,        28
 70,          2970,            1383,            325,      1510,         158,         23,          5038,              65,             63,     1946,        364,        15
 71,          3079,            1436,            186,      1498,         159,         12,          5181,              68,             35,     1983,        371,        16
 72,          3082,            1436,            190,      1544,         161,         12,          5326,              68,            119,     2028,        379,        15
 73,          3219,            1503,            199,      1598,         168,         13,          5473,              67,             31,     2044,        382,        17
 74,          3310,            1547,            204,      1575,         163,         13,          5622,              71,             32,     2080,        390,        16
 75,          3443,            1612,            214,      1588,         173,         12,          5773,              70,            145,     2140,        403,        15
 76,          3492,            1635,            219,      1716,         162,         20,          5926,              73,             34,     2165,        408,        17
 77,          3501,            1638,            215,      1801,         172,         14,          6081,              74,             34,     2205,        415,        17
 78,          3574,            1673,            217,      1788,         172,         15,          6238,              73,            327,     2232,        420,        17
 79,          3711,            1740,            226,      1871,         168,         14,          6397,              74,             36,     2275,        427,        17
 80,          3722,            1744,            227,      1947,         176,         16,          6558,              74,             37,     2311,        435,        18
 81,          3803,            1783,            231,      1794,         170,         14,          6721,              79,            409,     2344,        440,        18
 82,          3850,            1805,            232,      1807,         179,         15,          6886,              79,             39,     2399,        452,        19
