 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 0,             1,               0,              1,         1,           0,          1,             1,               0,              0,        6,          0,         1
 1,             1,               0,              0,         1,           0,          1,             1,               0,              0,       10,          1,         3
 2,             4,               0,              2,        11,           2,          6,             6,               0,              2,       22,          3,         4
 3,             7,               0,              1,        13,           2,          4,            13,               0,              2,       31,          5,         5
 4,            12,               1,              2,        24,           4,          4,            22,               1,              3,       48,          8,         7
 5,            22,               5,              3,        45,           7,          6,            33,               3,              8,       59,         10,         8
 6,            33,               9,              4,        61,           9,          9,            46,               5,              4,       82,         14,         9
 7,            38,              10,              4,        77,          12,          9,            61,               6,              5,       97,         17,        11
 8,            43,              11,              4,        92,          14,         10,            78,               7,              5,      123,         22,        12
 9,            50,              13,             29,       103,          13,         19,            97,               7,             12,      143,         26,        12
10,            53,              13,              6,       137,          16,         14,           118,               7,              7,      166,         30,        15
